order_number,product_key,customer_id,shipping_date,due_date,sales,quantity,price,order_month,order_year,lead_time,shipping_delay,shipped_on_time
SO45234,43,18009,2011-08-03,2011-08-08,699,1,699,7,2011,7,7,False
SO45239,43,19420,2011-08-04,2011-08-09,699,1,699,7,2011,7,7,False
SO45243,40,25715,2011-08-04,2011-08-09,699,1,699,7,2011,7,7,False
SO45247,40,25716,2011-08-05,2011-08-10,699,1,699,7,2011,7,7,False
SO45251,40,19422,2011-08-06,2011-08-11,699,1,699,7,2011,7,7,False
SO45256,41,14664,2011-08-06,2011-08-11,699,1,699,7,2011,7,7,False
SO45258,37,25712,2011-08-06,2011-08-11,699,1,699,7,2011,7,7,False
SO45263,37,14722,2011-08-07,2011-08-12,699,1,699,7,2011,7,7,False
SO45347,38,14733,2011-08-08,2011-08-13,699,1,699,8,2011,7,7,False
SO45354,37,19432,2011-08-09,2011-08-14,699,1,699,8,2011,7,7,False
SO45366,44,18011,2011-08-11,2011-08-16,699,1,699,8,2011,7,7,False
SO45367,43,20561,2011-08-11,2011-08-16,699,1,699,8,2011,7,7,False
SO45368,43,14732,2011-08-11,2011-08-16,699,1,699,8,2011,7,7,False
SO45380,47,18010,2011-08-13,2011-08-18,699,1,699,8,2011,7,7,False
SO45383,39,14734,2011-08-13,2011-08-18,699,1,699,8,2011,7,7,False
SO45384,36,26789,2011-08-13,2011-08-18,699,1,699,8,2011,7,7,False
SO45385,40,14735,2011-08-13,2011-08-18,699,1,699,8,2011,7,7,False
SO45414,44,18038,2011-08-18,2011-08-23,699,1,699,8,2011,7,7,False
SO45435,41,20562,2011-08-21,2011-08-26,699,1,699,8,2011,7,7,False
SO45439,42,25823,2011-08-21,2011-08-26,699,1,699,8,2011,7,7,False
SO45448,47,25718,2011-08-23,2011-08-28,699,1,699,8,2011,7,7,False
SO45460,40,25822,2011-08-26,2011-08-31,699,1,699,8,2011,7,7,False
SO45465,38,25819,2011-08-27,2011-09-01,699,1,699,8,2011,7,7,False
SO45486,47,14737,2011-08-31,2011-09-05,699,1,699,8,2011,7,7,False
SO45492,44,19429,2011-09-01,2011-09-06,699,1,699,8,2011,7,7,False
SO45493,45,14731,2011-09-01,2011-09-06,699,1,699,8,2011,7,7,False
SO45495,38,25821,2011-09-01,2011-09-06,699,1,699,8,2011,7,7,False
SO45504,37,14730,2011-09-02,2011-09-07,699,1,699,8,2011,7,7,False
SO45584,41,25828,2011-09-05,2011-09-10,699,1,699,8,2011,7,7,False
SO45591,42,25831,2011-09-06,2011-09-11,699,1,699,8,2011,7,7,False
SO45596,39,20564,2011-09-07,2011-09-12,699,1,699,8,2011,7,7,False
SO45597,43,14740,2011-09-07,2011-09-12,699,1,699,8,2011,7,7,False
SO45598,37,14744,2011-09-07,2011-09-12,699,1,699,8,2011,7,7,False
SO45607,44,25830,2011-09-08,2011-09-13,699,1,699,9,2011,7,7,False
SO45615,38,18137,2011-09-10,2011-09-15,699,1,699,9,2011,7,7,False
SO45627,47,18039,2011-09-11,2011-09-16,699,1,699,9,2011,7,7,False
SO45638,47,14746,2011-09-13,2011-09-18,699,1,699,9,2011,7,7,False
SO45652,40,25826,2011-09-16,2011-09-21,699,1,699,9,2011,7,7,False
SO45661,38,25827,2011-09-17,2011-09-22,699,1,699,9,2011,7,7,False
SO45666,42,14738,2011-09-18,2011-09-23,699,1,699,9,2011,7,7,False
SO45672,37,19438,2011-09-19,2011-09-24,699,1,699,9,2011,7,7,False
SO45675,37,25829,2011-09-19,2011-09-24,699,1,699,9,2011,7,7,False
SO45685,46,18132,2011-09-21,2011-09-26,699,1,699,9,2011,7,7,False
SO45688,45,14741,2011-09-21,2011-09-26,699,1,699,9,2011,7,7,False
SO45698,42,14747,2011-09-22,2011-09-27,699,1,699,9,2011,7,7,False
SO45699,41,14750,2011-09-22,2011-09-27,699,1,699,9,2011,7,7,False
SO45702,45,18131,2011-09-23,2011-09-28,699,1,699,9,2011,7,7,False
SO45748,39,18046,2011-09-30,2011-10-05,699,1,699,9,2011,7,7,False
SO45751,37,14739,2011-09-30,2011-10-05,699,1,699,9,2011,7,7,False
SO45818,43,14868,2011-10-06,2011-10-11,699,1,699,9,2011,7,7,False
SO45820,37,25832,2011-10-06,2011-10-11,699,1,699,9,2011,7,7,False
SO45828,44,14753,2011-10-08,2011-10-13,699,1,699,10,2011,7,7,False
SO45848,37,14852,2011-10-11,2011-10-16,699,1,699,10,2011,7,7,False
SO45852,37,18143,2011-10-12,2011-10-17,699,1,699,10,2011,7,7,False
SO45855,36,14754,2011-10-12,2011-10-17,699,1,699,10,2011,7,7,False
SO45871,42,25919,2011-10-15,2011-10-20,699,1,699,10,2011,7,7,False
SO45879,36,19443,2011-10-17,2011-10-22,699,1,699,10,2011,7,7,False
SO45887,44,14880,2011-10-17,2011-10-22,699,1,699,10,2011,7,7,False
SO45894,39,19450,2011-10-19,2011-10-24,699,1,699,10,2011,7,7,False
SO45930,43,18148,2011-10-23,2011-10-28,699,1,699,10,2011,7,7,False
SO45935,42,19439,2011-10-24,2011-10-29,699,1,699,10,2011,7,7,False
SO45939,40,14757,2011-10-25,2011-10-30,699,1,699,10,2011,7,7,False
SO45945,47,25920,2011-10-25,2011-10-30,699,1,699,10,2011,7,7,False
SO45948,38,14879,2011-10-26,2011-10-31,699,1,699,10,2011,7,7,False
SO45965,45,25921,2011-10-28,2011-11-02,699,1,699,10,2011,7,7,False
SO45967,42,19454,2011-10-29,2011-11-03,699,1,699,10,2011,7,7,False
SO45972,47,19472,2011-10-30,2011-11-04,699,1,699,10,2011,7,7,False
SO45975,47,14755,2011-10-30,2011-11-04,699,1,699,10,2011,7,7,False
SO45992,40,19451,2011-11-02,2011-11-07,699,1,699,10,2011,7,7,False
SO45997,47,14756,2011-11-02,2011-11-07,699,1,699,10,2011,7,7,False
SO45998,38,25918,2011-11-02,2011-11-07,699,1,699,10,2011,7,7,False
SO46012,44,19453,2011-11-04,2011-11-09,699,1,699,10,2011,7,7,False
SO46019,37,14752,2011-11-04,2011-11-09,699,1,699,10,2011,7,7,False
SO46116,39,14912,2011-11-05,2011-11-10,699,1,699,10,2011,7,7,False
SO46119,42,25927,2011-11-05,2011-11-10,699,1,699,10,2011,7,7,False
SO46126,40,14883,2011-11-07,2011-11-12,699,1,699,10,2011,7,7,False
SO46127,40,14895,2011-11-07,2011-11-12,699,1,699,10,2011,7,7,False
SO46141,45,19501,2011-11-09,2011-11-14,699,1,699,11,2011,7,7,False
SO46145,37,14881,2011-11-09,2011-11-14,699,1,699,11,2011,7,7,False
SO46147,45,19476,2011-11-10,2011-11-15,699,1,699,11,2011,7,7,False
SO46150,41,20569,2011-11-10,2011-11-15,699,1,699,11,2011,7,7,False
SO46153,47,25928,2011-11-10,2011-11-15,699,1,699,11,2011,7,7,False
SO46158,45,25926,2011-11-11,2011-11-16,699,1,699,11,2011,7,7,False
SO46168,40,25936,2011-11-12,2011-11-17,699,1,699,11,2011,7,7,False
SO46178,40,25937,2011-11-14,2011-11-19,699,1,699,11,2011,7,7,False
SO46193,38,18634,2011-11-17,2011-11-22,699,1,699,11,2011,7,7,False
SO46202,45,25935,2011-11-17,2011-11-22,699,1,699,11,2011,7,7,False
SO46211,43,18163,2011-11-19,2011-11-24,699,1,699,11,2011,7,7,False
SO46222,41,14891,2011-11-20,2011-11-25,699,1,699,11,2011,7,7,False
SO46223,42,14892,2011-11-20,2011-11-25,699,1,699,11,2011,7,7,False
SO46224,43,14902,2011-11-20,2011-11-25,699,1,699,11,2011,7,7,False
SO46247,40,14882,2011-11-23,2011-11-28,699,1,699,11,2011,7,7,False
SO46248,47,14896,2011-11-23,2011-11-28,699,1,699,11,2011,7,7,False
SO46277,46,19482,2011-11-28,2011-12-03,699,1,699,11,2011,7,7,False
SO46278,42,19496,2011-11-28,2011-12-03,699,1,699,11,2011,7,7,False
SO46284,43,14888,2011-11-28,2011-12-03,699,1,699,11,2011,7,7,False
SO46286,36,18175,2011-11-29,2011-12-04,699,1,699,11,2011,7,7,False
SO46295,44,20567,2011-11-30,2011-12-05,699,1,699,11,2011,7,7,False
SO46303,37,25922,2011-12-01,2011-12-06,699,1,699,11,2011,7,7,False
SO46310,41,25938,2011-12-02,2011-12-07,699,1,699,11,2011,7,7,False
SO46317,40,14884,2011-12-04,2011-12-09,699,1,699,11,2011,7,7,False
SO46321,44,14894,2011-12-05,2011-12-10,699,1,699,11,2011,7,7,False
SO46397,43,27014,2011-12-07,2011-12-12,699,1,699,11,2011,7,7,False
SO46407,38,27026,2011-12-08,2011-12-13,699,1,699,12,2011,7,7,False
SO46414,36,15006,2011-12-09,2011-12-14,699,1,699,12,2011,7,7,False
SO46421,41,25949,2011-12-10,2011-12-15,699,1,699,12,2011,7,7,False
SO46432,38,15016,2011-12-12,2011-12-17,699,1,699,12,2011,7,7,False
SO46457,47,25947,2011-12-15,2011-12-20,699,1,699,12,2011,7,7,False
SO46469,39,19033,2011-12-17,2011-12-22,699,1,699,12,2011,7,7,False
SO46470,46,14915,2011-12-17,2011-12-22,699,1,699,12,2011,7,7,False
SO46474,38,25944,2011-12-17,2011-12-22,699,1,699,12,2011,7,7,False
SO46475,46,20575,2011-12-18,2011-12-23,699,1,699,12,2011,7,7,False
SO46478,42,25939,2011-12-18,2011-12-23,699,1,699,12,2011,7,7,False
SO46486,39,19901,2011-12-20,2011-12-25,699,1,699,12,2011,7,7,False
SO46487,36,14913,2011-12-20,2011-12-25,699,1,699,12,2011,7,7,False
SO46493,43,15023,2011-12-22,2011-12-27,699,1,699,12,2011,7,7,False
SO46501,43,19518,2011-12-23,2011-12-28,699,1,699,12,2011,7,7,False
SO46502,43,19051,2011-12-23,2011-12-28,699,1,699,12,2011,7,7,False
SO46504,38,15005,2011-12-23,2011-12-28,699,1,699,12,2011,7,7,False
SO46507,45,25941,2011-12-23,2011-12-28,699,1,699,12,2011,7,7,False
SO46514,38,19028,2011-12-24,2011-12-29,699,1,699,12,2011,7,7,False
SO46515,37,19904,2011-12-24,2011-12-29,699,1,699,12,2011,7,7,False
SO46527,40,25940,2011-12-25,2011-12-30,699,1,699,12,2011,7,7,False
SO46532,36,19041,2011-12-26,2011-12-31,699,1,699,12,2011,7,7,False
SO46551,44,14914,2011-12-28,2012-01-02,699,1,699,12,2011,7,7,False
SO46552,43,15017,2011-12-28,2012-01-02,699,1,699,12,2011,7,7,False
SO46556,42,25948,2011-12-28,2012-01-02,699,1,699,12,2011,7,7,False
SO46563,45,25945,2011-12-29,2012-01-03,699,1,699,12,2011,7,7,False
SO46589,42,25946,2012-01-02,2012-01-07,699,1,699,12,2011,7,7,False
SO46600,40,19027,2012-01-04,2012-01-09,699,1,699,12,2011,7,7,False
SO46676,132,18047,2012-01-05,2012-01-10,1000,1,1000,12,2011,7,7,False
SO46678,44,19930,2012-01-05,2012-01-10,783,1,783,12,2011,7,7,False
SO46684,130,18125,2012-01-06,2012-01-11,1000,1,1000,12,2011,7,7,False
SO46686,47,20577,2012-01-06,2012-01-11,783,1,783,12,2011,7,7,False
SO46699,43,25961,2012-01-07,2012-01-12,783,1,783,12,2011,7,7,False
SO46700,130,16942,2012-01-08,2012-01-13,1000,1,1000,1,2012,7,7,False
SO46703,41,20576,2012-01-08,2012-01-13,783,1,783,1,2012,7,7,False
SO46707,41,15199,2012-01-08,2012-01-13,783,1,783,1,2012,7,7,False
SO46709,133,19172,2012-01-09,2012-01-14,1000,1,1000,1,2012,7,7,False
SO46722,132,17095,2012-01-10,2012-01-15,1000,1,1000,1,2012,7,7,False
SO46729,45,26019,2012-01-10,2012-01-15,783,1,783,1,2012,7,7,False
SO46732,132,13992,2012-01-11,2012-01-16,1000,1,1000,1,2012,7,7,False
SO46752,38,19931,2012-01-14,2012-01-19,783,1,783,1,2012,7,7,False
SO46754,45,25958,2012-01-14,2012-01-19,783,1,783,1,2012,7,7,False
SO46755,38,26023,2012-01-14,2012-01-19,783,1,783,1,2012,7,7,False
SO46756,131,13993,2012-01-14,2012-01-19,1000,1,1000,1,2012,7,7,False
SO46758,133,18130,2012-01-15,2012-01-20,1000,1,1000,1,2012,7,7,False
SO46760,133,13986,2012-01-15,2012-01-20,1000,1,1000,1,2012,7,7,False
SO46761,47,19924,2012-01-15,2012-01-20,783,1,783,1,2012,7,7,False
SO46765,39,15191,2012-01-15,2012-01-20,783,1,783,1,2012,7,7,False
SO46768,36,26020,2012-01-15,2012-01-20,783,1,783,1,2012,7,7,False
SO46783,41,19069,2012-01-17,2012-01-22,783,1,783,1,2012,7,7,False
SO46787,39,15195,2012-01-17,2012-01-22,783,1,783,1,2012,7,7,False
SO46802,41,15188,2012-01-19,2012-01-24,783,1,783,1,2012,7,7,False
SO46804,46,19052,2012-01-20,2012-01-25,783,1,783,1,2012,7,7,False
SO46822,47,15155,2012-01-22,2012-01-27,783,1,783,1,2012,7,7,False
SO46823,46,15193,2012-01-22,2012-01-27,783,1,783,1,2012,7,7,False
SO46824,132,24608,2012-01-22,2012-01-27,1000,1,1000,1,2012,7,7,False
SO46828,132,13990,2012-01-23,2012-01-28,1000,1,1000,1,2012,7,7,False
SO46830,41,19910,2012-01-23,2012-01-28,783,1,783,1,2012,7,7,False
SO46837,130,14003,2012-01-24,2012-01-29,1000,1,1000,1,2012,7,7,False
SO46842,45,15166,2012-01-24,2012-01-29,783,1,783,1,2012,7,7,False
SO46852,39,15194,2012-01-25,2012-01-30,783,1,783,1,2012,7,7,False
SO46872,132,19186,2012-01-28,2012-02-02,1000,1,1000,1,2012,7,7,False
SO46874,130,24606,2012-01-28,2012-02-02,1000,1,1000,1,2012,7,7,False
SO46880,40,15167,2012-01-29,2012-02-03,783,1,783,1,2012,7,7,False
SO46882,38,25960,2012-01-29,2012-02-03,783,1,783,1,2012,7,7,False
SO46888,47,26021,2012-01-30,2012-02-04,783,1,783,1,2012,7,7,False
SO46889,131,19173,2012-01-31,2012-02-05,1000,1,1000,1,2012,7,7,False
SO46891,47,20592,2012-01-31,2012-02-05,783,1,783,1,2012,7,7,False
SO46896,39,15189,2012-01-31,2012-02-05,783,1,783,1,2012,7,7,False
SO46899,130,13999,2012-02-01,2012-02-06,1000,1,1000,1,2012,7,7,False
SO46904,133,17080,2012-02-02,2012-02-07,1000,1,1000,1,2012,7,7,False
SO46910,44,20710,2012-02-03,2012-02-08,783,1,783,1,2012,7,7,False
SO46916,43,15196,2012-02-03,2012-02-08,783,1,783,1,2012,7,7,False
SO46918,38,26022,2012-02-03,2012-02-08,783,1,783,1,2012,7,7,False
SO47069,131,14017,2012-02-05,2012-02-10,1000,1,1000,1,2012,7,7,False
SO47070,133,14025,2012-02-05,2012-02-10,1000,1,1000,1,2012,7,7,False
SO47072,37,20062,2012-02-05,2012-02-10,783,1,783,1,2012,7,7,False
SO47081,37,15203,2012-02-06,2012-02-11,783,1,783,1,2012,7,7,False
SO47082,46,15254,2012-02-06,2012-02-11,783,1,783,1,2012,7,7,False
SO47083,43,15288,2012-02-06,2012-02-11,783,1,783,1,2012,7,7,False
SO47089,37,15284,2012-02-07,2012-02-12,783,1,783,1,2012,7,7,False
SO47099,47,26134,2012-02-08,2012-02-13,783,1,783,2,2012,7,7,False
SO47113,38,15255,2012-02-10,2012-02-15,783,1,783,2,2012,7,7,False
SO47116,133,24611,2012-02-10,2012-02-15,1000,1,1000,2,2012,7,7,False
SO47120,130,14006,2012-02-11,2012-02-16,1000,1,1000,2,2012,7,7,False
SO47135,38,27027,2012-02-12,2012-02-17,783,1,783,2,2012,7,7,False
SO47144,38,26033,2012-02-13,2012-02-18,783,1,783,2,2012,7,7,False
SO47145,36,26131,2012-02-13,2012-02-18,783,1,783,2,2012,7,7,False
SO47146,134,18133,2012-02-14,2012-02-19,1000,1,1000,2,2012,7,7,False
SO47153,45,26024,2012-02-15,2012-02-20,783,1,783,2,2012,7,7,False
SO47154,40,26133,2012-02-15,2012-02-20,783,1,783,2,2012,7,7,False
SO47177,130,14022,2012-02-18,2012-02-23,1000,1,1000,2,2012,7,7,False
SO47178,131,14026,2012-02-18,2012-02-23,1000,1,1000,2,2012,7,7,False
SO47183,40,15200,2012-02-18,2012-02-23,783,1,783,2,2012,7,7,False
SO47187,132,18134,2012-02-19,2012-02-24,1000,1,1000,2,2012,7,7,False
SO47188,134,19253,2012-02-19,2012-02-24,1000,1,1000,2,2012,7,7,False
SO47193,43,20162,2012-02-19,2012-02-24,783,1,783,2,2012,7,7,False
SO47199,46,20051,2012-02-20,2012-02-25,783,1,783,2,2012,7,7,False
SO47206,39,15256,2012-02-21,2012-02-26,783,1,783,2,2012,7,7,False
SO47207,41,27043,2012-02-21,2012-02-26,783,1,783,2,2012,7,7,False
SO47210,134,24609,2012-02-21,2012-02-26,1000,1,1000,2,2012,7,7,False
SO47214,134,19195,2012-02-22,2012-02-27,1000,1,1000,2,2012,7,7,False
SO47222,130,26316,2012-02-23,2012-02-28,1000,1,1000,2,2012,7,7,False
SO47234,134,19260,2012-02-24,2012-02-29,1000,1,1000,2,2012,7,7,False
SO47236,132,14023,2012-02-24,2012-02-29,1000,1,1000,2,2012,7,7,False
